CompanyID,Company,Rating,Title,Review,Response,ReviewDate,ExperienceDate
4,Cyberport,1,No refund or reply to email,"Ordered a BTO MacBook Air, a card reader and an adapter for almost €2k and have gotten no product or refund. The day after ordering I got an email stating that the order was cancelled and that I would get a refund. It's been over two weeks now and I still haven't gotten my money back or a response to my email.EDIT: The fact that the order is cancelled is not the problem. The problem is that I still haven't received a refund or a reply to my email about when I should expect said refund.","Hello, the order had to be cancelled because it was placed as a privat order but had a forwarding company as the invoice address. Firstly, we had to cancel due to compliance concerns. Secondly, our carriers quite often don't finish deliveries to such addresses because the privat recipient of goods is not present at the address. We ask for your understanding. Regards, Marc",2024-02-12,2024-01-22
4,Cyberport,5,Everything good,"I ordered it as a gift ( Harman Kardon speaker) and unbelievable how the box arrived, they send it in the original box without any cover or protection….the box come broken and dirty…i made pictures too…very disappointed…I will never buy nothing from them.( update: They solve my problem, so I can say everything is ok, anyway they must and try to pack better…I know it’s fault most probably of the delivery company…DPD 👎🏼","Hello, we'd like to apologize for the damage of the packaging during transit. Some of our items may get shipped in original packaging in order to reduce packaging material. The process isn't completely optimized yet, so any feedback helps us in making adjustments. I've sent you an email with further details about the subsequent handling of your order. Regards, Marc from Cyberport",2023-02-15,2023-02-08
4,Cyberport,5,The best speaker a ever heard,"The best speaker a ever heard, I have now one at home, and 2 at work, the sound is just perfect, I dor, outdoor, super design and 8h battery, highly recommended, my friends ordered also after visiting me",NaN,2023-02-06,2023-02-05
4,Cyberport,5,"Wow, didn't expect that","Well, I ordered Thursday and get my package Friday, I didn't see that coming, everything came in good shape, I highly recommend.",NaN,2023-03-03,2023-03-03
4,Cyberport,1,Possibly worst internet sale expereince,"They Own computeruniverse where I Ordered a PC, after tens of phone calls and emails and after 2 months where they were not responding, managed to get a response (from the mother company CYBERPORT to which the payment was made) that the products was not available and to change my order so I requested  a refund which I received so late (after 2 months).  They requested bank transfer instead of card payment which helped them not being traced and be able to report the transaction to bank.  Very very bad experience!! If i did not insist they would have scammed me.",NaN,2024-01-25,2023-11-17
4,Cyberport,5,No problems & will use again.,"Very simple and painless. Used for the first time, got a good price on the item and it was shipped Uber fast.Will be using again.",NaN,2023-02-13,2023-02-01
4,Cyberport,5,simplicity of ordering and the wide…,simplicity of ordering and the wide range of discounts,NaN,2023-06-20,2023-06-20
4,Cyberport,5,Easy Peesy,easy order procedure no needless steps to complete the order,NaN,2023-02-22,2023-02-21
4,Cyberport,1,This is the first time I've seen…,"This is the first time I've seen something like this. To refuse a VAT refund based on nationality. Discrimination in the center of Berlin, simply because you are from Ukraine. We have never heard a legal justification. Just seeing our passport, they directly told us “we are forced to refuse your purchase and refund VAT in the future.” Since we do not know the language, our friend helped us and he is a German citizen who said that for the first time in his life he encountered such a reason for refusal. simply because we are of a certain nationality.","Hello Mr. Mevlid, the background is that there's an EU embargo regulation that is relevant for some specific persons in Ukraine, but also connected persons. As a retailer, we're obligated to follow this regulation. Due to technical reasons, we can thus not issue a Global Blue form for handling a VAT refund. There is no general obligation for retailers to offer the VAT refund process. I've sent you an email with further details, and an offer in order to be accommodating. The store employees assured us that there was no discriminatory basis for the interaction. We regret the legal justification not coming across in the store correctly, and would like to apologize for that. Regards, Marc",2023-11-19,2023-11-18
4,Cyberport,5,it was all nice and smood,"it was all nice and smood, no issues. Keep going like that.",NaN,2023-02-04,2023-02-03
4,Cyberport,5,Very fast and convenient,"We bought an Ipad for my grandpa here so we can keep in touch with him during the war. We went to cyberport in Bikini Berlin, Ipad was in stock and the exact configuration we wanted. The purchase was made very quickly it took only 5 minutes.",NaN,2022-07-10,2022-07-10
4,Cyberport,5,"First-rate, dependable, refreshingly professional service!","I don't usually write positive reviews here as I rarely have any positive experiences to report. Because customer service in 2022 is generally poor to non-existent, we jaded consumers have come to expect nothing more.Cyberport however deserve the highest accolade I can give them. I ordered an iMac for my business on Sunday and it arrived (with VAT receipt) on Tuesday afternoon. I even got a phone call on the Monday to inform me it had been packed and was awaiting pickup. Just amazing!20 years ago, this level of customer service was normal, nowadays it is very rare indeed. Thank you Cyberport for a smooth and pleasant transaction, I will shop again with confidence!",NaN,2022-07-19,2022-07-19
4,Cyberport,1,I placed an order for a Starlink unit…,"I placed an order for a Starlink unit that was listed as ""in stock"" 13 days ago but have not received it yet. In addition, I have been billed a second time for shipping. The initial payment was €324.99, which included VAT and shipping costs, and now I’ve been charged an additional €21.84 for shipping, for reasons unknown to me. I have attempted to contact customer service via email to inquire about a VAT refund but have not received a response. I'm hoping we can address and resolve these issues here.","Hi Artur, we regret the long wait and the double reservation. We are currently still waiting for the starlink to arrive, which is expected to be imminent. As soon as the goods have been received, they will be sent to you on a daily basis.The double reservation of the shipping costs was due to the fact that your order had to be adjusted because the order is VAT-free. As soon as the goods have been dispatched and invoiced, we will of course only collect the correct net price and not the gross EUR 324.99 previously authorized by you.Unfortunately we could not find your e-mail in the system, for further questions please contact us directly at Kundenzufriedenheit@cyberport.de Best regards Jens from the Cyberport team",2023-11-07,2023-10-30
4,Cyberport,1,Broken Pro Display XDR,"Bought a B-Stock Pro Display XDR and picked it up in Bochum. Discovered a few months later there is a scratch inside the glass panel. You can only see it when shining with a flashlight on it. Contacted Cyberport, they never e-mailed back. Had to sell the Pro Display XDR with a loss and buy a new one from a Dutch APR. Cyberport doesn’t know anything about service or checking B-Stock products. Never again.Edit: just received an email where ‘customer Happiness’ is blaming me for not noticing the damage earlier and they will not do anything against it. If you want to lose your money quickly and have a poor customer service, order with Cyberport!","Hello Mr. de Wit, we could not find any emails in our archive with your name, the order number, or the email address that had been used for the order. Please send us details on how and when exactly you had tried to contact us to kundenzufriedenheit@cyberport.de. Regards, Marc",2023-11-16,2023-11-06
